City_ID,City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,Waitangi,NZ,1733443034,-43.9535,-176.5597,78,82,57.81,13.0
1,Bethel,US,1733443035,41.3712,-73.414,49,63,35.01,5.01
2,Cabo San Lucas,MX,1733442969,22.8909,-109.9124,40,55,74.77,8.39
3,Olonkinbyen,SJ,1733443036,70.9221,-8.7187,100,99,28.74,21.92
4,Alotau,PG,1733443036,-10.3069,150.4462,100,67,86.95,3.58
5,Uíge,AO,1733443036,-7.6087,15.0613,78,95,63.43,3.18
6,Enewetak,MH,1733443036,11.3474,162.3373,24,78,82.45,24.9
7,Port Elizabeth,ZA,1733443036,-33.918,25.5701,0,83,66.49,17.27
8,Grytviken,GS,1733443036,-54.2811,-36.5092,100,73,31.66,9.04
9,Cheongsong gun,KR,1733443036,36.4335,129.057,22,61,31.69,12.93
10,Miramichi,CA,1733443037,47.0043,-65.4654,100,97,33.1,10.18
11,Sitka,US,1733443037,57.0531,-135.33,100,87,48.09,0.0
12,Betio Village,KI,1733443037,1.358,172.9211,73,79,86.04,20.74
13,Invercargill,NZ,1733443037,-46.4,168.35,93,79,61.02,15.99
14,Tiksi,RU,1733443037,71.6872,128.8694,56,97,-13.68,7.4
15,Huazhou,CN,1733443037,21.6333,110.5833,0,85,64.78,2.84
16,Whitehorse,CA,1733443037,60.7161,-135.0538,75,70,41.77,14.97
17,Tangalle,LK,1733443038,6.024,80.7911,98,87,75.92,1.99
18,Praia da Vitória,PT,1733443038,38.7333,-27.0667,40,82,66.45,17.72
19,Kerikeri,NZ,1733443038,-35.2268,173.9474,0,53,80.91,8.99
20,Hawaiian Paradise Park,US,1733443038,19.5933,-154.9731,0,68,81.91,8.05
21,Port-aux-Français,TF,1733443038,-49.35,70.2167,88,87,37.35,57.04
22,Bikenibeu Village,KI,1733443038,1.3673,173.1241,75,74,85.96,19.57
23,Lodja,CD,1733443039,-3.4833,23.4333,97,99,67.8,0.49
24,Qaqortoq,GL,1733443039,60.7167,-46.0333,34,80,3.06,6.85
25,Grand Baie,MU,1733443039,-20.0182,57.5802,10,80,75.45,1.01
26,Kapuskasing,CA,1733443039,49.4169,-82.4331,100,79,15.8,12.66
27,Talnakh,RU,1733443039,69.4865,88.3972,100,96,-1.64,6.06
28,Manismata,ID,1733443039,-2.4667,111.0333,100,98,74.16,1.72
29,Bilibino,RU,1733443039,68.0546,166.4372,12,99,-8.81,4.54
30,Avarua,CK,1733443039,-21.2078,-159.775,75,74,80.65,16.11
31,Adamstown,PN,1733443039,-25.066,-130.1015,100,76,73.92,14.79
32,Magadan,RU,1733443040,59.5667,150.8,100,89,22.39,16.06
33,Susuman,RU,1733443040,62.7833,148.1667,100,100,-16.83,0.6
34,Lihue,US,1733443040,21.9789,-159.3672,100,97,71.46,16.11
35,Upata,VE,1733443040,8.0086,-62.3989,51,71,72.82,5.48
36,Puerto Ayora,EC,1733443040,-0.7393,-90.3518,84,96,72.55,3.0
37,New Norfolk,AU,1733443040,-42.7826,147.0587,65,41,70.72,3.74
38,Vorkuta,RU,1733443040,67.5,64.0,100,94,24.55,24.07
39,Calais,FR,1733443041,50.9581,1.8521,66,68,49.35,35.16
40,Kikwit,CD,1733443041,-5.041,18.8162,73,95,67.44,1.34
41,Kismayo,SO,1733443041,-0.3582,42.5454,68,81,78.75,12.1
42,Udachny,RU,1733443041,66.4167,112.4,100,90,7.81,8.81
43,Kuta,ID,1733443041,-8.7233,115.1723,75,94,80.55,5.75
44,Seosan City,KR,1733443041,36.7817,126.4522,72,58,40.17,8.97
45,West Island,CC,1733443042,-12.1568,96.8225,93,71,81.45,19.75
46,Singa,SD,1733443042,13.15,33.9333,1,40,77.18,9.95
47,Puerto Natales,CL,1733443042,-51.7236,-72.4875,65,65,45.5,0.76
48,Albany,US,1733443042,42.6001,-73.9662,55,62,32.63,4.0
49,Revda,RU,1733443042,56.801,59.9303,72,92,14.95,8.21
50,Lā‘ie,US,1733443042,21.6477,-157.9253,1,67,83.59,5.99
51,Kumëny,RU,1733443042,58.1089,49.9161,43,97,13.24,4.61
52,Vadsø,NO,1733443042,70.0744,29.7487,75,74,24.96,21.85
53,Edinburgh of the Seven Seas,SH,1733443043,-37.0676,-12.3116,3,79,58.87,24.65
54,Iqaluit,CA,1733443043,63.7506,-68.5145,75,71,8.33,2.3
55,Alaghsas,NE,1733443043,17.0187,8.0168,99,16,67.95,8.72
56,Ndago,TZ,1733443043,-4.6,34.35,100,91,63.19,4.68
57,Klaksvík,FO,1733443043,62.2266,-6.589,94,73,43.21,32.17
58,Blackmans Bay,AU,1733443043,-43.0167,147.3167,60,72,69.53,1.01
59,Peñón Blanco,MX,1733443043,24.7897,-104.0369,36,27,65.14,2.82
60,Oliver,CA,1733442965,49.1831,-119.5524,53,69,33.71,5.75
61,Lompoc,US,1733443044,34.6391,-120.4579,0,62,68.41,14.97
62,Keflavik,IS,1733443044,64.0049,-22.5624,20,80,32.43,5.75
63,Mourniés,GR,1733443044,35.4764,24.0092,75,88,82.47,5.75
64,Georgīevka,KZ,1733443044,49.3314,81.5761,7,92,13.77,5.3
65,Lebu,CL,1733443044,-37.6167,-73.65,7,81,54.37,5.01
66,Hithadhoo,MV,1733443044,-0.6,73.0833,93,77,81.32,9.37
67,Saipan,MP,1733443044,15.1355,145.701,0,82,88.5,14.97
68,Skovorodino,RU,1733443045,53.9833,123.9167,94,98,-8.18,3.6
69,Joaquín V. González,AR,1733443045,-25.0833,-64.1833,71,47,82.38,10.18
70,Bodden Town,KY,1733443045,19.2833,-81.25,75,81,78.8,12.66
71,Dwārka,IN,1733443045,22.2394,68.9678,53,47,74.98,12.28
72,St. John's,CA,1733443045,47.5649,-52.7093,75,74,37.78,14.97
